order_date_jkt,price_sold_at,order_quantity,city,province,pricing_engine_buying_price
2021-10-26,125000,1,SURABAYA,JAWA TIMUR,
2021-10-26,125000,1,SURABAYA,JAWA TIMUR,
2021-10-26,125000,1,SURABAYA,JAWA TIMUR,
2021-10-26,125000,1,SURABAYA,JAWA TIMUR,
2021-10-26,125000,1,SURABAYA,JAWA TIMUR,0.0
2021-10-26,125000,1,SURABAYA,JAWA TIMUR,0.0
2021-10-26,125000,1,SURABAYA,JAWA TIMUR,
2021-10-26,125000,1,SURABAYA,JAWA TIMUR,0.0
2021-10-26,125000,1,SURABAYA,JAWA TIMUR,0.0
2021-10-26,125000,1,SURABAYA,JAWA TIMUR,
2021-10-26,125000,1,SURABAYA,JAWA TIMUR,
2021-10-26,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,0.0
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,0.0
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,0.0
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,0.0
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SIDOARJO,JAWA TIMUR,
2021-10-27,125000,1,SIDOARJO,JAWA TIMUR,
2021-10-27,125000,1,SIDOARJO,JAWA TIMUR,
2021-10-27,125000,1,SIDOARJO,JAWA TIMUR,
2021-10-27,125000,1,SIDOARJO,JAWA TIMUR,0.0
2021-10-27,125000,1,SIDOARJO,JAWA TIMUR,0.0
2021-10-27,125000,1,SIDOARJO,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,0.0
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,0.0
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,GRESIK,JAWA TIMUR,
2021-10-27,125000,1,GRESIK,JAWA TIMUR,
2021-10-27,125000,1,GRESIK,JAWA TIMUR,
2021-10-27,125000,1,GRESIK,JAWA TIMUR,
2021-10-27,125000,1,GRESIK,JAWA TIMUR,0.0
2021-10-27,125000,1,GRESIK,JAWA TIMUR,0.0
2021-10-27,125000,1,GRESIK,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,0.0
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,0.0
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,0.0
2021-10-27,125000,1,SURABAYA,JAWA TIMUR,0.0
2021-10-27,125000,1,SIDOARJO,JAWA TIMUR,
2021-10-27,125000,1,SIDOARJO,JAWA TIMUR,
2021-10-27,125000,1,SIDOARJO,JAWA TIMUR,
2021-10-27,125000,1,SIDOARJO,JAWA TIMUR,
2021-10-27,125000,1,SIDOARJO,JAWA TIMUR,
2021-10-27,125000,1,SIDOARJO,JAWA TIMUR,
2021-10-27,125000,1,SIDOARJO,JAWA TIMUR,0.0
2021-10-27,125000,1,SIDOARJO,JAWA TIMUR,0.0
2021-10-27,125000,1,SIDOARJO,JAWA TIMUR,
2021-10-27,125000,4,GRESIK,JAWA TIMUR,
2021-10-27,125000,4,GRESIK,JAWA TIMUR,
2021-10-27,125000,4,GRESIK,JAWA TIMUR,
2021-10-27,125000,4,GRESIK,JAWA TIMUR,
