year_month,price_point_numer,color,bubble_size,bubble_size_1
2021-10,,ULASXAZNJJ,,
2021-11,,ULASXAZNJJ,,
2021-12,,ULASXAZNJJ,,
2022-01,,ULASXAZNJJ,,
2022-02,,ULASXAZNJJ,,
2022-03,,ULASXAZNJJ,-61.89,-61.89
2022-04,22,ULASXAZNJJ,-35.89,-35.89
2022-05,13,ULASXAZNJJ,-49.1,-49.1
2022-06,45,ULASXAZNJJ,-23.75,-23.75
2022-07,40,ULASXAZNJJ,-31.85,-31.85
2022-08,23,ULASXAZNJJ,-15.45,-15.45
2022-09,28,ULASXAZNJJ,-118.61,-118.61
2022-10,10,ULASXAZNJJ,-1040.34,-200
2021-10,1,ULAA2WQ72Q,0,0
2021-11,6,ULAA2WQ72Q,-67.48,-67.48
2021-12,9,ULAA2WQ72Q,-0.99,-0.99
2022-01,7,ULAA2WQ72Q,-3.82,-3.82
2022-02,3,ULAA2WQ72Q,26.47,26.47
2022-03,,ULAA2WQ72Q,,
2022-04,7,ULAA2WQ72Q,-108.81,-108.81
2022-05,7,ULAA2WQ72Q,-43.07,-43.07
2022-06,14,ULAA2WQ72Q,-2.67,-2.67
2022-07,30,ULAA2WQ72Q,-30.33,-30.33
2022-08,21,ULAA2WQ72Q,-48.33,-48.33
2022-09,28,ULAA2WQ72Q,-27.11,-27.11
2022-10,6,ULAA2WQ72Q,-257.58,-257.58
2021-10,5,ULAHZ6UJFN,13.06,13.06
2021-11,25,ULAHZ6UJFN,0.18,0.18
2021-12,20,ULAHZ6UJFN,11.02,11.02
2022-01,23,ULAHZ6UJFN,-1.98,-1.98
2022-02,18,ULAHZ6UJFN,2.93,2.93
2022-03,139,ULAHZ6UJFN,-5.7,-5.7
2022-04,198,ULAHZ6UJFN,-19.71,-19.71
2022-05,156,ULAHZ6UJFN,-13.1,-13.1
2022-06,96,ULAHZ6UJFN,-5.89,-5.89
2022-07,114,ULAHZ6UJFN,-8.41,-8.41
2022-08,58,ULAHZ6UJFN,-6.4,-6.4
2022-09,28,ULAHZ6UJFN,-44.13,-44.13
2022-10,12,ULAHZ6UJFN,-626.17,-200
